;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
101;13183;13200;12905;12799;12424;12139;11780;11626;11681;11743;11780;11635;11793;11809;11772;11665;11347;11315;11213;11242;11167;11436;11514;11626;11671;11963;12089;12086;12083;12024;11998;11968;11863;11746;11688
102;23730;23623;23181;22851;22308;22082;22029;21928;22188;22685;22978;22905;22995;22954;22668;22585;22519;22453;22515;22486;22306;22435;22371;22624;23050;23351;23313;23170;23026;22915;22794;22645;22548;22474;22413
103;22944;22973;22831;22907;22508;22387;22597;22917;24685;26141;28023;29190;29588;29908;29796;29690;29631;29275;28991;28972;28905;29104;29455;29722;30394;31075;31669;31664;33457;34597;35723;36958;37619;38028;39166
104;14851;14714;14651;14335;14090;13909;13837;13681;13750;13996;14187;14319;14443;14445;14432;14590;14705;14575;14245;14365;14361;14379;14329;14380;14502;14435;14433;14289;14013;13977;13828;13594;13321;13039;12777
105;19611;19487;19405;19108;18977;18755;18659;18605;18682;18588;18479;18440;18516;18447;18347;18478;18807;19006;19119;18965;19295;19552;19644;19706;20066;20427;20671;20964;21079;21212;21289;21411;22000;22286;22673
201;9574;9502;9376;9113;9533;9825;10366;10872;11399;12677;13335;13861;14622;15632;15775;15715;15604;15451;15217;15090;15246;15373;15425;15670;15702;15810;15763;15647;15522;15478;15464;15395;15294;15165;15076
202;16425;16445;16215;15985;15637;15877;15765;15934;16839;16976;17181;17061;17245;17356;17369;17339;17339;17227;17094;16999;17004;17020;16942;17082;17328;17419;17411;17324;17178;17161;17337;17362;17444;17523;17529
203;27556;27836;27362;26940;26401;26365;27005;26812;26780;26823;26916;27049;26994;26650;26468;26340;26231;25940;25913;25435;25424;25672;25705;25807;25908;25997;26393;26148;25823;25599;25345;25184;25173;25359;25236
204;13166;13151;13109;12855;12571;12448;12265;12037;12007;11975;12000;11870;13116;14407;14948;14958;15217;14992;14719;14894;14967;14895;15159;15334;15465;15688;16586;16936;17158;17341;17532;17624;17616;17509;17462
205;22983;24055;24889;25066;25338;25871;26411;26524;26773;26684;26696;26314;26178;25952;26079;26303;26397;26386;26559;26127;26107;26314;26414;26802;26925;26815;26548;26188;25823;25614;25708;26096;26647;27191;27523
301;26082;25942;25509;25090;24700;24671;24422;23989;24185;24208;24347;24405;24674;24765;25255;25558;25419;25223;25031;24865;24807;24865;25083;25376;25606;25976;26269;26575;27189;27595;27988;28426;29001;30252;31716
302;13157;13244;12995;12712;12452;12277;12115;11803;11847;11846;11781;11787;11810;11795;11875;11918;11853;11800;11663;11481;11499;11522;11497;11596;11731;11881;11933;11720;11465;11305;11128;10930;11042;10766;10454
303;10658;10464;10216;10116;10010;10029;9940;9792;9830;9741;10471;10737;10972;11170;11091;10870;11003;10889;10805;10716;10662;10653;10822;11356;12306;12393;12790;13212;13517;13847;14282;14308;14256;14250;14127
304;8707;9265;9687;9657;9669;9625;9355;9174;9148;9158;9142;9079;8967;8650;8591;8435;8351;8244;8127;8078;8338;8213;8276;8376;8484;8575;8490;8389;8571;8771;8762;8827;9084;9983;11202
305;16443;16117;16353;16518;16298;16523;16198;15713;15856;15785;15984;15819;16121;16320;16440;16235;16480;16630;17417;17890;18433;18927;19545;19973;20434;21305;21865;22838;23492;23548;23684;23826;23761;23572;23418
401;10662;10561;10311;10110;9860;9684;9504;9199;9162;9149;9036;9027;9042;9084;8984;8988;8924;8771;8699;8571;8550;8555;8506;8579;8584;8563;8491;8463;8442;8539;8542;8595;8500;8372;8259
402;6094;6249;6443;6443;6402;6407;6466;6383;6462;6444;6496;6485;6565;6374;6403;6485;6522;6474;6464;6464;6535;6556;6490;6588;6587;6583;6657;6681;6692;6671;6641;6624;6574;6525;6486
403;5535;6069;6324;6828;7088;7235;7290;7535;7640;7776;7830;8102;8122;8169;8181;8172;8394;8733;8822;8777;8690;8571;8552;8564;8585;8560;8486;8389;8279;8286;8293;8259;8194;8171;8155
404;13509;13572;13738;13825;13573;13592;13502;13414;13368;12811;12868;12890;13492;14053;14145;14097;13918;13675;13804;13656;13620;13639;13640;13606;13634;13621;13521;13591;13412;13374;13417;13372;13283;13145;13019
405;3380;3402;3511;3546;3474;3422;3391;3364;3335;3363;3413;3429;3454;3519;3537;3563;3575;3595;3554;3567;3562;3563;3618;3721;3774;3774;3766;3739;3685;3678;3664;3663;3641;3612;3603
501;12491;12533;12791;12684;12449;12252;11879;11809;12269;12178;12124;11964;12111;12417;12557;13508;14376;15227;15805;16340;17160;18108;19037;20138;21149;21801;22804;23784;24756;25430;25588;25614;25556;25354;25160
502;7032;7335;7712;7670;8061;8540;8981;9508;9549;9476;9360;9301;9290;9214;9176;9022;8926;8791;8590;8450;8422;8326;8327;8278;8292;8247;8136;7985;7808;7692;7573;7691;7710;7636;7547
503;18225;19919;21077;21546;22547;23307;23261;23767;24984;25293;25584;25898;26136;26169;26023;26179;26586;26545;27383;28028;27918;27774;27839;27668;27947;28383;28375;28503;28719;28736;28588;28458;28401;28301;28165
504;9243;9631;10067;10402;11041;11069;11756;11659;11656;11743;11748;11887;11884;11903;11844;11878;11749;11664;11572;11413;11330;11224;11151;11205;11304;11290;11277;11298;11189;11261;11204;11215;11153;11128;11065
505;14530;14925;15329;15854;16335;16677;16843;17218;17274;17401;17501;17650;17861;18273;18346;18495;18631;18628;18538;18472;18376;18375;18379;18425;18372;18659;18757;19311;19381;19641;19666;19584;19699;19705;19674
506;6957;6724;6877;6730;6544;6428;6278;6197;6114;6053;5964;5916;5958;5900;5896;5748;5835;5800;5631;5481;5500;5589;5689;5676;5626;5601;5589;5515;5415;5367;5319;5362;5440;5466;5410
601;3891;3851;3798;3778;3699;3679;3589;3592;3587;3609;3669;3709;3772;3760;3761;3743;3767;3760;3788;3791;3777;3776;3771;3735;3770;3805;3796;3775;3734;3729;3717;3712;3697;3685;3672
602;19147;18910;18729;18399;18483;18299;19194;19186;19152;19225;20316;21534;22562;23794;24574;25100;26643;26874;26541;26333;26150;26069;26042;26130;26423;26768;26944;27676;27636;27566;27671;27569;27616;27871;28177
603;15473;15396;15295;15140;14883;14834;15541;15885;16126;16123;16164;16367;16615;16490;16583;16529;16503;16584;16587;16486;16377;16264;16295;16365;16473;16510;16526;16596;17437;18538;19960;21478;22855;24337;25917
701;19809;19749;19944;20046;19793;19637;19362;19269;19192;19179;19222;19135;19123;19625;20235;21086;21330;21330;21380;21214;21187;21265;21063;21322;21363;21357;21275;21587;21312;21140;20981;20792;20750;20676;21019
702;10544;10422;10559;10465;10108;9943;9684;9401;9391;9402;9208;9196;9243;9189;8941;9041;9256;9171;9145;9189;9109;8975;9181;9303;9613;9756;10224;10553;11637;11924;12216;12139;11989;11826;11681
703;29428;29922;30610;31593;31764;32881;33067;33321;34430;35473;36441;36484;36347;35977;35932;36110;36442;36602;36270;36360;36255;36361;36394;36347;36425;36588;36654;36745;36435;36671;37466;38635;39128;39252;39215
704;14102;13950;13932;14016;13813;13831;15899;18059;19069;20907;22669;23483;23978;24057;25247;27509;28735;30132;30945;31948;32956;33988;35010;35702;35826;36142;36606;37265;37824;38485;38906;39313;39633;39852;40043
801;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2063;2113;2196;2257;2270;2274;2281;2299;2593;3468;4681;4784
